
episode,reward,timesteps,successful
1,42,2,0
2,-20,1,0
3,35,2,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,0,2,0
9,146,2,0
10,-20,1,0
11,-20,1,0
12,-20,1,0
13,11,2,0
14,221,3,0
15,41,2,0
16,407,6,0
17,-20,1,0
18,42,3,0
19,10,2,0
20,-20,1,0
21,212,4,0
22,88,4,0
23,5,2,0
24,478,7,0
25,-20,1,0
26,-20,1,0
27,-20,1,0
28,-20,1,0
29,-20,1,0
30,-20,1,0
31,-20,1,0
32,-20,1,0
33,20,2,0
34,105,3,0
35,94,3,0
36,-20,1,0
37,-20,1,0
38,136,4,0
39,38,2,0
40,-20,1,0
41,-16,2,0
42,-20,1,0
43,-20,1,0
44,-20,1,0
45,-20,1,0
46,322,6,0
47,-20,1,0
48,188,3,0
49,222,3,0
50,41,3,0
51,-20,1,0
52,-20,1,0
53,-20,1,0
54,69,3,0
55,11,3,0
56,14,2,0
57,-20,1,0
58,-20,1,0
59,44,2,0
60,-20,1,0
61,255,4,0
62,160,2,0
63,-20,1,0
64,-20,1,0
65,-20,1,0
66,-20,1,0
67,19,2,0
68,-20,1,0
69,-20,1,0
70,-2,2,0
71,-20,1,0
72,-20,1,0
73,-20,1,0
74,28,2,0
75,-20,1,0
76,34,2,0
77,-20,1,0
78,-20,1,0
79,163,3,0
80,-20,1,0
81,-20,1,0
82,-20,1,0
83,-20,1,0
84,-20,1,0
85,-6,2,0
86,-20,1,0
87,124,5,0
88,22,2,0
89,-20,1,0
90,-20,1,0
91,189,2,0
92,-20,1,0
93,-20,1,0
94,152,2,0
95,-20,1,0
96,-20,1,0
97,-20,1,0
98,-6,2,0
99,-20,1,0
100,320,6,0
101,-20,1,0
102,16,2,0
103,-20,1,0
104,-20,1,0
105,-20,1,0
106,-20,1,0
107,47,4,0
108,292,7,0
109,-20,1,0
110,131,2,0
111,151,2,0
112,-20,1,0
113,-20,1,0
114,-20,1,0
115,63,3,0
116,337,4,0
117,47,3,0
118,-20,1,0
119,-20,1,0
120,26,3,0
121,-20,1,0
122,31,3,0
123,-20,1,0
124,140,2,0
125,-20,1,0
126,183,3,0
127,17,2,0
