
episode,reward,timesteps,successful
1,176,3,0
2,-20,1,0
3,37,3,0
4,-20,1,0
5,115,2,0
6,115,2,0
7,-20,1,0
8,129,2,0
9,-20,1,0
10,1346,10,1
11,-20,1,0
12,-20,1,0
13,1,2,0
14,27,2,0
15,325,3,0
16,-20,1,0
17,-20,1,0
18,-1,3,0
19,-20,1,0
20,128,2,0
21,-20,1,0
22,151,3,0
23,-20,1,0
24,-20,1,0
25,-20,1,0
26,-20,1,0
27,319,3,0
28,-20,1,0
29,190,4,0
30,501,4,0
31,283,3,0
32,-20,1,0
33,350,5,0
34,-20,1,0
35,490,5,0
36,-20,1,0
37,-20,1,0
38,-20,1,0
39,160,4,0
40,-20,1,0
41,-20,1,0
42,6,2,0
43,-20,1,0
44,-20,1,0
45,-20,1,0
46,143,2,0
47,145,2,0
48,-20,1,0
49,-20,1,0
50,-20,1,0
51,-20,1,0
52,-16,2,0
53,-20,1,0
54,-20,1,0
55,-20,1,0
56,-20,1,0
57,292,4,0
58,116,2,0
59,-20,1,0
60,-20,1,0
61,477,4,0
62,12,2,0
63,-20,1,0
64,175,3,0
65,0,2,0
66,-14,2,0
67,-20,1,0
68,38,3,0
69,-20,1,0
70,118,2,0
71,18,3,0
72,-20,1,0
73,445,5,0
74,171,3,0
75,22,3,0
76,157,2,0
77,-20,1,0
78,-20,1,0
79,-20,1,0
80,-20,1,0
81,-20,1,0
82,-6,2,0
83,-20,1,0
84,-20,1,0
85,29,3,0
86,-20,1,0
87,-20,1,0
88,21,3,0
89,24,2,0
90,564,6,0
91,-20,1,0
92,-20,1,0
93,-20,1,0
94,-20,1,0
95,6,2,0
96,275,3,0
97,130,2,0
98,-20,1,0
99,385,4,0
100,-20,1,0
101,677,9,0
102,-20,1,0
103,0,2,0
104,302,5,0
105,-20,1,0
106,415,6,0
107,138,2,0
108,31,3,0
109,30,2,0
110,197,4,0
111,145,2,0
112,-20,1,0
113,-20,1,0
114,-20,1,0
115,-20,1,0
116,144,2,0
117,-20,1,0
118,11,2,0
119,156,2,0
120,-20,1,0
