
episode,reward,timesteps,successful
1,42,2,0
2,-20,1,0
3,35,2,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,0,2,0
9,146,2,0
10,-20,1,0
11,-20,1,0
12,-20,1,0
13,14,2,0
14,220,3,0
15,41,2,0
16,309,6,0
17,-20,1,0
18,42,3,0
19,10,2,0
20,-20,1,0
21,188,3,0
22,24,2,0
23,22,2,0
24,-20,1,0
25,11,2,0
26,-20,1,0
27,538,5,0
28,-20,1,0
29,-20,1,0
30,-20,1,0
31,-20,1,0
32,-20,1,0
33,-20,1,0
34,-20,1,0
35,-20,1,0
36,-20,1,0
37,17,2,0
38,262,3,0
39,68,3,0
40,-20,1,0
41,-20,1,0
42,-20,1,0
43,19,3,0
44,32,2,0
45,-20,1,0
46,-20,1,0
47,24,2,0
48,-20,1,0
49,-20,1,0
50,-20,1,0
51,160,6,0
52,-20,1,0
53,454,5,0
54,81,4,0
55,-20,1,0
56,-20,1,0
57,-20,1,0
58,204,4,0
59,10,2,0
60,-3,2,0
61,-20,1,0
62,153,2,0
63,-20,1,0
64,198,4,0
65,-20,1,0
66,149,2,0
67,-20,1,0
68,-20,1,0
69,-20,1,0
70,-20,1,0
71,20,2,0
72,-20,1,0
73,52,3,0
74,-20,1,0
75,-7,2,0
76,34,2,0
77,-20,1,0
78,40,2,0
79,-20,1,0
80,-20,1,0
81,86,3,0
82,-20,1,0
83,-20,1,0
84,-20,1,0
85,-20,1,0
86,31,3,0
87,-20,1,0
88,-20,1,0
89,23,2,0
90,-20,1,0
91,-20,1,0
92,22,2,0
93,-20,1,0
94,-20,1,0
95,66,2,0
96,-20,1,0
97,-20,1,0
98,136,2,0
99,-20,1,0
100,-20,1,0
101,77,3,0
102,-20,1,0
103,-20,1,0
104,226,4,0
105,-20,1,0
106,-20,1,0
107,-20,1,0
108,-20,1,0
109,-20,1,0
110,-20,1,0
111,-20,1,0
112,9,2,0
113,74,3,0
114,-20,1,0
115,57,4,0
116,-20,1,0
117,0,2,0
118,5,2,0
119,145,2,0
120,-20,1,0
121,-20,1,0
122,-20,1,0
123,189,3,0
124,-20,1,0
125,-20,1,0
126,-20,1,0
127,-20,1,0
