
episode,reward,timesteps,successful
1,387,6,0
2,-20,1,0
3,-20,1,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,110,2,0
8,-20,1,0
9,-20,1,0
10,-20,1,0
11,121,2,0
12,152,2,0
13,-20,1,0
14,128,2,0
15,483,6,0
16,-20,1,0
17,194,4,0
18,-20,1,0
19,-20,1,0
20,284,4,0
21,148,3,0
22,-20,1,0
23,-20,1,0
24,-13,2,0
25,345,5,0
26,-20,1,0
27,-20,1,0
28,-20,1,0
29,-20,1,0
30,135,2,0
31,0,2,0
32,161,3,0
33,53,3,0
34,170,3,0
35,-20,1,0
36,706,6,0
37,-20,1,0
38,-20,1,0
39,-20,1,0
40,-20,1,0
41,-20,1,0
42,-20,1,0
43,-20,1,0
44,226,7,0
45,-20,1,0
46,55,3,0
47,157,2,0
48,-20,1,0
49,164,3,0
50,131,3,0
51,311,4,0
52,-20,1,0
53,179,3,0
54,-20,1,0
55,-20,1,0
56,138,2,0
57,-20,1,0
58,-20,1,0
59,-20,1,0
60,-20,1,0
61,200,3,0
62,140,2,0
63,-20,1,0
64,168,4,0
65,161,4,0
66,117,2,0
67,22,2,0
68,-20,1,0
69,134,3,0
70,-20,1,0
71,135,2,0
72,-20,1,0
73,-20,1,0
74,-20,1,0
75,-20,1,0
76,-20,1,0
77,134,3,0
78,-20,1,0
79,-20,1,0
80,-20,1,0
81,-20,1,0
82,-20,1,0
83,-20,1,0
84,169,3,0
85,74,4,0
86,-20,1,0
87,-2,2,0
88,-20,1,0
89,-20,1,0
90,294,3,0
91,-20,1,0
92,610,5,0
93,-20,1,0
94,-20,1,0
95,-20,1,0
96,8,2,0
97,-20,1,0
98,129,2,0
99,-20,1,0
100,43,3,0
101,-20,1,0
102,479,5,0
103,0,2,0
104,-20,1,0
105,-20,1,0
106,135,2,0
107,-20,1,0
108,-20,1,0
109,-20,1,0
110,-20,1,0
111,-20,1,0
112,35,2,0
113,-20,1,0
114,-20,1,0
115,-20,1,0
116,130,2,0
117,-20,1,0
118,-20,1,0
119,-20,1,0
120,-20,1,0
121,-20,1,0
122,-20,1,0
123,-20,1,0
124,201,4,0
125,669,6,0
126,292,3,0
127,559,6,0
128,-20,1,0
129,-15,2,0
130,-20,1,0
131,117,2,0
132,-20,1,0
133,-20,1,0
134,147,3,0
135,-20,1,0
136,192,4,0
137,-4,2,0
138,141,2,0
139,298,4,0
140,-20,1,0
141,164,3,0
142,-20,1,0
143,269,3,0
144,150,2,0
145,125,2,0
146,133,2,0
147,-20,1,0
148,-20,1,0
149,-20,1,0
150,-20,1,0
151,-20,1,0
152,135,2,0
153,56,3,0
154,117,2,0
155,299,4,0
156,-20,1,0
157,15,3,0
158,9,2,0
159,-20,1,0
160,-20,1,0
161,-20,1,0
162,-20,1,0
163,-20,1,0
164,1,2,0
165,289,4,0
166,-20,1,0
167,-20,1,0
168,-20,1,0
169,29,2,0
170,289,3,0
171,-20,1,0
172,-20,1,0
173,38,2,0
174,-20,1,0
175,84,4,0
176,-20,1,0
177,-20,1,0
178,-20,1,0
179,-20,1,0
180,-20,1,0
181,230,5,0
182,366,5,0
183,-2,2,0
184,129,2,0
185,23,3,0
186,316,4,0
187,114,2,0
188,-20,1,0
189,120,2,0
190,489,4,0
191,-20,1,0
192,-20,1,0
193,-20,1,0
194,269,3,0
195,-20,1,0
196,76,3,0
197,135,2,0
198,-20,1,0
199,232,6,0
200,-20,1,0
201,-20,1,0
202,8,2,0
203,-20,1,0
204,0,2,0
205,-20,1,0
206,119,2,0
207,-20,1,0
208,122,2,0
209,-20,1,0
210,-20,1,0
211,33,3,0
212,-20,1,0
213,144,3,0
214,-20,1,0
215,-12,2,0
216,-20,1,0
217,-20,1,0
218,-8,2,0
219,-20,1,0
220,-20,1,0
221,-20,1,0
222,139,2,0
223,-20,1,0
224,-20,1,0
225,-20,1,0
226,-20,1,0
227,-20,1,0
228,2,2,0
229,-20,1,0
230,11,2,0
231,-20,1,0
232,-20,1,0
233,-20,1,0
234,313,4,0
235,-20,1,0
236,-20,1,0
237,280,3,0
238,7,3,0
239,-2,2,0
240,-20,1,0
241,135,2,0
242,297,3,0
243,-20,1,0
244,-20,1,0
245,-20,1,0
246,-20,1,0
247,-20,1,0
248,32,2,0
249,-20,1,0
250,-20,1,0
251,-20,1,0
252,-20,1,0
253,128,2,0
254,-20,1,0
255,-20,1,0
256,-20,1,0
257,16,2,0
258,6,2,0
259,-20,1,0
260,-20,1,0
261,122,2,0
262,140,2,0
263,785,10,1
264,141,2,0
265,-20,1,0
266,-20,1,0
267,155,4,0
268,-20,1,0
269,-20,1,0
270,18,3,0
271,292,4,0
272,343,4,0
273,-20,1,0
274,149,3,0
275,-20,1,0
276,-18,2,0
277,-20,1,0
278,130,3,0
279,4,2,0
280,-20,1,0
281,-20,1,0
282,604,5,0
283,-20,1,0
284,-20,1,0
285,-20,1,0
286,-20,1,0
287,-19,2,0
288,147,2,0
289,169,3,0
290,-1,2,0
291,-20,1,0
292,-20,1,0
293,-20,1,0
294,54,2,0
295,136,2,0
296,-20,1,0
297,165,2,0
298,310,4,0
299,-20,1,0
300,-20,1,0
301,-20,1,0
302,-9,2,0
303,144,3,0
304,-20,1,0
305,-20,1,0
306,-20,1,0
307,1,2,0
308,204,6,0
309,105,2,0
310,8,3,0
311,-20,1,0
312,709,5,0
313,-20,1,0
314,-20,1,0
315,-20,1,0
316,231,6,0
317,-20,1,0
318,294,3,0
319,23,3,0
320,-20,1,0
321,-20,1,0
322,-20,1,0
323,11,2,0
324,-20,1,0
325,225,4,0
326,6,2,0
327,-6,2,0
328,-20,1,0
329,439,6,0
330,-20,1,0
331,117,2,0
332,-20,1,0
333,2,2,0
334,-20,1,0
335,2,2,0
336,-20,1,0
337,360,3,0
338,-20,1,0
339,208,3,0
340,-20,1,0
341,-20,1,0
342,-20,1,0
343,-20,1,0
344,-20,1,0
345,-20,1,0
346,14,2,0
347,-10,2,0
348,-20,1,0
349,-20,1,0
350,-20,1,0
351,137,2,0
352,346,3,0
353,-4,3,0
354,-20,1,0
355,27,2,0
356,141,2,0
357,-20,1,0
358,-20,1,0
359,-3,2,0
360,19,2,0
361,-20,1,0
362,-20,1,0
363,-20,1,0
364,6,2,0
365,-20,1,0
366,-20,1,0
367,-12,2,0
368,-20,1,0
369,129,2,0
370,-20,1,0
371,-20,1,0
372,578,6,0
373,-20,1,0
374,-19,2,0
375,157,4,0
376,273,3,0
377,442,5,0
378,264,3,0
379,-20,1,0
380,141,2,0
381,-20,1,0
382,-20,1,0
383,133,2,0
384,-1,2,0
385,7,2,0
386,491,4,0
387,-20,1,0
388,338,4,0
389,-20,1,0
390,143,2,0
391,-20,1,0
392,440,4,0
393,-20,1,0
394,-20,1,0
395,285,3,0
396,-20,1,0
397,-20,1,0
398,125,2,0
399,144,2,0
400,130,2,0
401,22,3,0
402,-20,1,0
403,-20,1,0
404,751,6,0
405,33,3,0
406,279,3,0
407,-20,1,0
408,-20,1,0
409,-20,1,0
410,141,2,0
411,-20,1,0
412,30,3,0
413,131,3,0
414,149,3,0
415,121,2,0
416,-20,1,0
417,-20,1,0
418,-20,1,0
419,-20,1,0
420,56,4,0
421,145,3,0
422,-20,1,0
423,54,4,0
424,-20,1,0
425,-20,1,0
426,13,2,0
427,-20,1,0
428,-20,1,0
429,-20,1,0
430,-20,1,0
431,132,2,0
432,136,2,0
433,-9,2,0
434,-20,1,0
435,-20,1,0
436,116,2,0
437,464,5,0
438,162,3,0
439,12,2,0
440,39,2,0
441,-20,1,0
442,-20,1,0
443,-20,1,0
444,587,5,0
445,12,2,0
446,-20,1,0
447,-20,1,0
448,-20,1,0
449,136,2,0
450,-20,1,0
451,-20,1,0
452,-20,1,0
