
episode,reward,timesteps,successful
1,44,2,0
2,-20,1,0
3,179,3,0
4,21,2,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,116,2,0
9,-20,1,0
10,-20,1,0
11,-20,1,0
12,20,2,0
13,154,2,0
14,-20,1,0
15,-20,1,0
16,-20,1,0
17,407,6,0
18,-20,1,0
19,3,2,0
20,-20,1,0
21,21,2,0
22,-20,1,0
23,196,4,0
24,-20,1,0
25,152,2,0
26,-20,1,0
27,155,3,0
28,201,3,0
29,-20,1,0
30,-2,2,0
31,-20,1,0
32,-20,1,0
33,-20,1,0
34,125,2,0
35,-20,1,0
36,-20,1,0
37,147,3,0
38,221,3,0
39,-20,1,0
40,140,2,0
41,-20,1,0
42,-20,1,0
43,-20,1,0
44,4,2,0
45,156,3,0
46,-20,1,0
47,-20,1,0
48,0,2,0
49,-20,1,0
50,-24,2,0
51,15,2,0
52,80,4,0
53,220,3,0
54,240,4,0
55,76,5,0
56,-20,1,0
57,65,4,0
58,-20,1,0
59,205,3,0
60,-20,1,0
61,-20,1,0
62,-20,1,0
63,-20,1,0
64,201,4,0
65,-20,1,0
66,142,2,0
67,-20,1,0
68,-20,1,0
69,-20,1,0
70,-20,1,0
71,22,2,0
72,-20,1,0
73,22,2,0
74,-20,1,0
75,-20,1,0
76,122,2,0
77,22,2,0
78,-20,1,0
79,44,3,0
80,-20,1,0
81,78,3,0
82,-20,1,0
83,-20,1,0
84,-20,1,0
85,0,3,0
86,-20,1,0
87,309,6,0
88,189,3,0
89,-20,1,0
90,47,2,0
91,-20,1,0
92,-20,1,0
93,140,2,0
94,136,2,0
95,169,3,0
96,-20,1,0
97,232,4,0
98,22,2,0
99,-20,1,0
100,-20,1,0
101,-20,1,0
102,-20,1,0
103,-20,1,0
104,40,4,0
105,-12,2,0
106,-20,1,0
107,188,4,0
108,-20,1,0
109,11,2,0
110,440,7,0
111,-13,2,0
112,145,2,0
113,-20,1,0
114,-20,1,0
115,-20,1,0
116,175,3,0
117,-20,1,0
118,9,3,0
119,646,6,0
120,131,2,0
121,-20,1,0
122,47,3,0
123,86,3,0
124,169,3,0
125,3,2,0
126,-1,2,0
127,-20,1,0
128,-20,1,0
129,122,3,0
130,-15,2,0
131,79,4,0
132,126,4,0
133,-20,1,0
134,-20,1,0
135,133,3,0
136,133,2,0
137,-20,1,0
138,-20,1,0
139,195,4,0
140,28,3,0
141,136,2,0
142,0,2,0
143,-20,1,0
144,-20,1,0
145,-20,1,0
146,-20,1,0
147,-20,1,0
148,-20,1,0
149,-20,1,0
150,580,5,0
151,2,2,0
152,31,2,0
153,-4,2,0
154,-20,1,0
155,-20,1,0
156,25,2,0
157,164,3,0
158,-20,1,0
159,-20,1,0
160,-20,1,0
161,286,3,0
162,-20,1,0
163,134,2,0
164,-20,1,0
165,-20,1,0
166,-20,1,0
167,-20,1,0
168,-7,2,0
169,25,2,0
170,-20,1,0
171,-20,1,0
172,-20,1,0
173,50,2,0
174,-20,1,0
175,-20,1,0
176,55,4,0
177,-20,1,0
178,-20,1,0
179,-20,1,0
180,-20,1,0
181,-20,1,0
182,229,5,0
183,143,3,0
184,-20,1,0
185,-20,1,0
186,-20,1,0
187,-20,1,0
188,-20,1,0
189,123,2,0
190,-20,1,0
191,66,4,0
192,139,2,0
193,-20,1,0
194,42,3,0
195,-20,1,0
196,16,2,0
197,23,2,0
198,-20,1,0
199,-20,1,0
200,5,2,0
201,93,4,0
202,184,3,0
203,424,4,0
204,36,2,0
205,-20,1,0
206,-20,1,0
207,-20,1,0
208,-20,1,0
209,-20,1,0
210,-20,1,0
211,-20,1,0
212,186,4,0
213,-20,1,0
214,245,6,0
215,-20,1,0
216,-20,1,0
217,-20,1,0
218,-20,1,0
219,-20,1,0
220,1,2,0
221,-20,1,0
222,-20,1,0
223,28,2,0
224,-20,1,0
225,-20,1,0
226,-20,1,0
227,9,2,0
228,-20,1,0
229,-20,1,0
230,-10,2,0
231,-20,1,0
232,163,3,0
233,17,2,0
234,-20,1,0
235,-20,1,0
236,-20,1,0
237,-20,1,0
238,-20,1,0
239,11,2,0
240,-20,1,0
241,-20,1,0
242,783,8,0
243,-20,1,0
244,522,5,0
245,-20,1,0
246,-20,1,0
247,-20,1,0
248,-20,1,0
249,-20,1,0
250,-20,1,0
251,-20,1,0
252,-20,1,0
253,-20,1,0
254,-20,1,0
255,132,3,0
256,-20,1,0
257,-20,1,0
258,-20,1,0
259,25,2,0
260,765,8,0
261,289,6,0
262,33,3,0
263,51,3,0
264,-20,1,0
265,-20,1,0
266,135,4,0
267,120,5,0
268,25,2,0
269,32,2,0
270,341,4,0
271,-20,1,0
272,237,4,0
273,-20,1,0
274,-20,1,0
275,-20,1,0
276,5,2,0
277,-20,1,0
278,16,2,0
279,-20,1,0
280,-20,1,0
281,435,6,0
282,-20,1,0
283,-20,1,0
284,231,4,0
285,-20,1,0
286,52,3,0
287,-20,1,0
288,-20,1,0
289,-20,1,0
290,-20,1,0
291,-20,1,0
292,-20,1,0
293,-20,1,0
294,2,2,0
295,-20,1,0
296,197,3,0
297,64,3,0
298,-20,1,0
299,-1,2,0
300,-20,1,0
301,-20,1,0
302,-20,1,0
303,5,2,0
304,-20,1,0
305,-20,1,0
306,-20,1,0
307,138,3,0
308,-20,1,0
309,130,2,0
310,-20,1,0
311,52,3,0
312,-20,1,0
313,203,3,0
314,-20,1,0
315,227,4,0
316,46,3,0
317,69,4,0
318,66,3,0
