
episode,reward,timesteps,successful
1,-4,2,0
2,-20,1,0
3,-20,1,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,-20,1,0
9,-20,1,0
10,16,2,0
11,4,2,0
12,-20,1,0
13,218,4,0
14,4,2,0
15,-20,1,0
16,-20,1,0
17,-20,1,0
18,176,3,0
19,33,2,0
20,0,2,0
21,54,3,0
22,-3,2,0
23,-20,1,0
24,196,3,0
25,-20,1,0
26,-20,1,0
27,-20,1,0
28,-20,1,0
29,-20,1,0
30,-20,1,0
31,-20,1,0
32,264,3,0
33,59,6,0
34,12,2,0
35,-20,1,0
36,-20,1,0
37,-20,1,0
38,-9,2,0
39,336,3,0
40,-15,2,0
41,16,2,0
42,191,4,0
43,-20,1,0
44,131,2,0
45,-20,1,0
46,282,3,0
47,-20,1,0
48,-20,1,0
49,-20,1,0
50,11,2,0
51,97,3,0
52,-20,1,0
53,7,2,0
54,-20,1,0
55,0,2,0
56,-20,1,0
57,175,2,0
58,-20,1,0
59,202,4,0
60,4,2,0
61,17,2,0
62,30,2,0
63,-20,1,0
64,-20,1,0
65,-20,1,0
66,-20,1,0
67,23,2,0
68,-20,1,0
69,-20,1,0
70,42,2,0
71,0,2,0
72,-20,1,0
73,197,3,0
74,-20,1,0
75,-20,1,0
76,134,4,0
77,-20,1,0
78,-20,1,0
79,124,2,0
80,43,2,0
81,149,2,0
82,332,3,0
83,460,4,0
84,-20,1,0
85,-20,1,0
86,-5,3,0
87,45,2,0
88,149,4,0
89,-20,1,0
90,-20,1,0
91,-20,1,0
92,-20,1,0
93,-20,1,0
94,-20,1,0
95,131,2,0
96,-20,1,0
97,-20,1,0
98,-20,1,0
99,35,3,0
100,146,2,0
101,139,2,0
102,43,3,0
103,51,3,0
104,76,3,0
105,-20,1,0
106,-20,1,0
107,-1,2,0
108,-20,1,0
109,-20,1,0
110,-20,1,0
111,26,2,0
112,-20,1,0
113,-20,1,0
114,37,3,0
115,28,2,0
116,-20,1,0
117,-20,1,0
118,19,2,0
119,-20,1,0
120,128,2,0
121,161,2,0
122,-20,1,0
123,295,3,0
124,-20,1,0
125,127,2,0
126,127,2,0
127,-20,1,0
128,27,3,0
129,-20,1,0
130,299,4,0
131,-20,1,0
132,-20,1,0
133,-20,1,0
