
episode,reward,timesteps,successful
1,-21,2,0
2,-20,1,0
3,-20,1,0
4,-20,1,0
5,-20,1,0
6,-20,1,0
7,-20,1,0
8,-20,1,0
9,-20,1,0
10,-9,2,0
11,-20,1,0
12,315,6,0
13,-17,2,0
14,-20,1,0
15,34,3,0
16,138,2,0
17,148,2,0
18,2,2,0
19,177,3,0
20,156,4,0
21,-20,1,0
22,-20,1,0
23,282,3,0
24,-20,1,0
25,-20,1,0
26,-20,1,0
27,-20,1,0
28,342,4,0
29,407,4,0
30,1017,10,1
31,-20,1,0
32,-7,2,0
33,2,3,0
34,-20,1,0
35,328,5,0
36,-20,1,0
37,303,3,0
38,-20,1,0
39,145,2,0
40,-20,1,0
41,-20,1,0
42,11,2,0
43,-20,1,0
44,-20,1,0
45,-20,1,0
46,17,2,0
47,150,3,0
48,174,2,0
49,-20,1,0
50,188,3,0
51,224,5,0
52,123,2,0
53,10,2,0
54,-20,1,0
55,-20,1,0
56,181,3,0
57,-20,1,0
58,149,3,0
59,-20,1,0
60,-20,1,0
61,136,2,0
62,-20,1,0
63,-20,1,0
64,-20,1,0
65,203,4,0
66,-20,1,0
67,-20,1,0
68,34,2,0
69,151,2,0
70,16,2,0
71,774,9,0
72,-20,1,0
73,-20,1,0
74,-20,1,0
75,131,2,0
76,301,5,0
77,0,2,0
78,-20,1,0
79,-20,1,0
80,-20,1,0
81,-20,1,0
82,-20,1,0
83,-20,1,0
84,-20,1,0
85,-20,1,0
86,680,7,0
87,286,3,0
88,273,3,0
89,215,4,0
90,-20,1,0
91,-8,2,0
92,-9,2,0
93,-20,1,0
94,168,4,0
95,306,3,0
96,5,2,0
97,-20,1,0
98,261,3,0
99,-20,1,0
100,148,2,0
101,144,2,0
102,-20,1,0
103,150,4,0
104,-20,1,0
105,-20,1,0
106,-20,1,0
107,-20,1,0
108,-20,1,0
109,786,8,0
110,-20,1,0
111,-20,1,0
112,-20,1,0
113,0,2,0
114,-20,1,0
115,-20,1,0
116,578,6,0
117,-20,1,0
118,180,4,0
119,118,2,0
120,-20,1,0
121,238,5,0
122,-20,1,0
123,-20,1,0
124,-20,1,0
125,-13,2,0
126,-20,1,0
127,-2,2,0
128,-20,1,0
129,849,10,0
130,305,4,0
131,-20,1,0
132,-20,1,0
133,28,2,0
134,-20,1,0
135,-20,1,0
136,-20,1,0
137,375,6,0
138,-20,1,0
139,-20,1,0
140,129,3,0
141,-20,1,0
142,-20,1,0
143,25,3,0
144,-20,1,0
145,32,2,0
146,-20,1,0
147,142,2,0
148,-20,1,0
149,25,2,0
150,-7,2,0
151,-20,1,0
152,136,2,0
153,-20,1,0
154,-20,1,0
155,136,2,0
156,286,3,0
157,-20,1,0
158,162,3,0
159,-20,1,0
160,0,2,0
161,61,3,0
162,129,2,0
163,-20,1,0
164,255,7,0
165,151,2,0
166,-20,1,0
167,196,3,0
168,-20,1,0
169,186,4,0
170,249,5,0
171,-20,1,0
172,-20,1,0
173,-20,1,0
174,-20,1,0
175,8,2,0
176,-20,1,0
177,212,4,0
178,169,3,0
179,-20,1,0
180,107,2,0
181,766,7,0
182,178,4,0
183,-20,1,0
184,138,2,0
185,-20,1,0
186,60,4,0
187,12,2,0
188,-20,1,0
189,-20,1,0
190,-20,1,0
191,-20,1,0
192,-20,1,0
193,-20,1,0
194,-20,1,0
195,-20,1,0
196,-20,1,0
197,167,2,0
198,330,4,0
199,-20,1,0
200,0,2,0
201,134,2,0
202,13,2,0
203,43,4,0
204,-20,1,0
205,128,2,0
206,-20,1,0
207,139,2,0
208,1,2,0
209,140,2,0
210,120,2,0
211,-20,1,0
212,151,2,0
213,-2,2,0
214,34,3,0
215,-20,1,0
216,309,3,0
217,-19,2,0
218,-20,1,0
219,-20,1,0
220,504,5,0
221,-20,1,0
222,-20,1,0
223,-5,2,0
224,-20,1,0
225,220,4,0
226,-20,1,0
227,195,4,0
228,132,2,0
229,-20,1,0
230,458,6,0
231,114,2,0
232,140,2,0
233,-20,1,0
234,123,2,0
235,-20,1,0
236,-20,1,0
237,-20,1,0
238,65,3,0
239,430,5,0
240,19,3,0
241,199,3,0
242,154,3,0
243,-20,1,0
244,126,2,0
245,-20,1,0
246,-20,1,0
247,-20,1,0
248,-20,1,0
249,-20,1,0
250,-20,1,0
251,7,2,0
252,123,2,0
253,120,2,0
254,321,3,0
255,-8,2,0
256,-20,1,0
257,-20,1,0
258,-20,1,0
259,-20,1,0
260,-20,1,0
261,8,2,0
262,13,2,0
263,-20,1,0
264,150,3,0
265,23,2,0
266,-20,1,0
267,148,4,0
268,-20,1,0
269,-20,1,0
270,254,3,0
271,-20,1,0
272,-20,1,0
273,388,4,0
274,323,3,0
275,298,5,0
276,-20,1,0
277,-20,1,0
278,128,2,0
279,-20,1,0
280,186,4,0
281,-20,1,0
282,-20,1,0
283,11,2,0
284,-20,1,0
285,-20,1,0
286,39,3,0
287,-20,1,0
288,9,2,0
289,-4,2,0
290,-20,1,0
291,158,3,0
292,-20,1,0
293,-20,1,0
294,8,2,0
295,-20,1,0
296,-20,1,0
297,-20,1,0
298,-20,1,0
299,8,2,0
300,-20,1,0
301,-20,1,0
302,-20,1,0
303,-20,1,0
304,142,2,0
305,-20,1,0
306,-20,1,0
307,2,3,0
308,134,2,0
309,-20,1,0
310,-20,1,0
311,121,2,0
312,349,4,0
313,-20,1,0
314,-20,1,0
315,0,2,0
316,272,3,0
317,288,3,0
318,-20,1,0
319,131,2,0
320,-20,1,0
321,-20,1,0
322,-20,1,0
323,461,4,0
324,-20,1,0
325,245,4,0
326,-20,1,0
327,120,2,0
328,-20,1,0
329,145,2,0
330,-20,1,0
331,-2,2,0
332,-20,1,0
333,-1,2,0
334,291,4,0
335,18,2,0
336,3,2,0
337,-20,1,0
338,224,6,0
339,-20,1,0
340,-20,1,0
341,-20,1,0
342,-20,1,0
343,746,8,0
344,-20,1,0
345,-20,1,0
346,-20,1,0
347,-20,1,0
348,-20,1,0
349,-20,1,0
350,-20,1,0
351,17,2,0
352,1,2,0
353,148,3,0
354,12,2,0
355,297,3,0
356,-20,1,0
357,-20,1,0
358,611,5,0
359,59,3,0
360,-20,1,0
361,121,2,0
362,224,5,0
363,-20,1,0
364,137,3,0
365,-20,1,0
366,-20,1,0
367,-20,1,0
368,-1,2,0
369,-20,1,0
370,-20,1,0
371,21,2,0
372,4,2,0
373,-20,1,0
374,139,2,0
375,-20,1,0
376,-20,1,0
377,18,2,0
378,-20,1,0
379,531,5,0
380,287,4,0
381,-20,1,0
382,3,2,0
383,-20,1,0
384,-20,1,0
385,141,2,0
386,103,2,0
387,-20,1,0
388,-20,1,0
389,202,3,0
390,289,3,0
391,-20,1,0
392,-18,2,0
393,-20,1,0
394,163,3,0
395,-20,1,0
396,171,3,0
397,157,3,0
398,6,2,0
399,-2,2,0
400,164,3,0
401,218,3,0
402,565,5,0
403,-20,1,0
404,-20,1,0
405,-20,1,0
406,32,2,0
407,-20,1,0
408,111,2,0
409,462,4,0
410,-20,1,0
411,41,2,0
412,130,3,0
413,293,5,0
414,130,2,0
415,28,3,0
416,365,4,0
417,-7,2,0
418,109,2,0
419,148,2,0
420,0,2,0
421,-20,1,0
422,-20,1,0
423,26,2,0
424,224,4,0
425,-20,1,0
426,-20,1,0
427,3,2,0
428,364,5,0
429,-20,1,0
430,-20,1,0
431,7,2,0
432,-20,1,0
433,-20,1,0
434,151,2,0
435,240,6,0
436,-20,1,0
437,645,10,0
438,135,2,0
439,-20,1,0
440,-20,1,0
441,132,2,0
442,-12,2,0
443,-20,1,0
444,-20,1,0
445,-20,1,0
446,-20,1,0
447,470,5,0
448,-20,1,0
449,-20,1,0
450,-20,1,0
451,129,2,0
452,-20,1,0
453,-20,1,0
454,-20,1,0
455,-20,1,0
456,113,4,0
457,-20,1,0
458,21,3,0
459,-20,1,0
460,519,6,0
461,-20,1,0
462,17,2,0
463,-20,1,0
464,-20,1,0
465,-20,1,0
466,-20,1,0
