
episode,reward,timesteps,successful
1,178,3,0
2,-20,1,0
3,150,3,0
4,-20,1,0
5,16,2,0
6,-2,2,0
7,-20,1,0
8,132,2,0
9,-20,1,0
10,526,6,0
11,61,3,0
12,39,2,0
13,221,5,0
14,131,2,0
15,-20,1,0
16,-20,1,0
17,-20,2,0
18,-20,1,0
19,-20,1,0
20,-20,1,0
21,38,3,0
22,153,3,0
23,-20,1,0
24,12,2,0
25,181,5,0
26,9,2,0
27,138,2,0
28,444,4,0
29,55,3,0
30,-20,1,0
31,-20,1,0
32,-20,1,0
33,856,10,0
34,215,5,0
35,-20,1,0
36,-20,1,0
37,-20,1,0
38,4,2,0
39,-20,1,0
40,6,2,0
41,136,2,0
42,25,2,0
43,-20,1,0
44,-20,1,0
45,165,3,0
46,-20,1,0
47,-20,1,0
48,-20,1,0
49,-20,1,0
50,-20,1,0
51,498,4,0
52,-3,2,0
53,-20,1,0
54,-20,1,0
55,202,4,0
56,-20,1,0
57,-20,1,0
58,-20,1,0
59,128,2,0
60,-20,1,0
61,2,2,0
62,-20,1,0
63,-20,1,0
64,-20,1,0
65,-20,1,0
66,76,3,0
67,4,2,0
68,265,3,0
69,-20,1,0
70,223,5,0
71,167,2,0
72,-20,1,0
73,-20,1,0
74,-9,2,0
75,184,3,0
76,-5,2,0
77,-20,1,0
78,-20,1,0
79,-20,1,0
80,-20,1,0
81,-20,1,0
82,-20,1,0
83,317,3,0
84,-20,1,0
85,-20,1,0
86,-20,1,0
87,-20,1,0
88,-20,1,0
89,200,4,0
90,-20,1,0
91,184,4,0
92,-20,1,0
93,-20,1,0
94,-20,1,0
95,19,2,0
96,152,3,0
97,141,2,0
98,-20,1,0
99,286,4,0
100,-20,1,0
101,553,10,0
102,450,7,0
103,-9,2,0
104,48,2,0
105,33,3,0
106,136,2,0
107,173,3,0
108,124,2,0
109,216,4,0
110,168,2,0
111,-4,2,0
112,338,4,0
113,-3,2,0
114,-20,1,0
115,37,2,0
116,-20,1,0
117,128,2,0
118,275,3,0
119,-20,1,0
120,-12,2,0
121,-11,2,0
122,144,3,0
123,-1,2,0
124,185,3,0
125,-20,1,0
126,-20,1,0
127,4,2,0
128,-20,1,0
129,-20,1,0
130,-20,1,0
131,40,2,0
132,52,3,0
133,-20,1,0
134,162,2,0
135,163,3,0
136,-20,1,0
137,-20,1,0
138,149,2,0
139,307,3,0
140,49,4,0
141,136,2,0
142,-20,1,0
143,-20,1,0
144,22,2,0
145,-20,1,0
146,-20,1,0
147,-20,1,0
148,-20,1,0
149,-20,1,0
150,-20,1,0
151,3,2,0
152,-20,1,0
153,200,4,0
154,227,5,0
155,-20,1,0
156,-20,1,0
157,320,3,0
158,-20,1,0
159,-20,1,0
160,8,2,0
161,91,6,0
162,231,6,0
163,-20,1,0
164,-20,1,0
165,3,2,0
166,-20,1,0
167,165,3,0
168,-20,1,0
169,-20,1,0
170,-20,1,0
171,8,2,0
172,-20,1,0
173,-2,2,0
174,-20,1,0
175,-20,1,0
176,10,2,0
177,-20,1,0
178,352,4,0
179,171,2,0
180,-20,1,0
181,-20,1,0
182,-20,1,0
183,4,2,0
184,-20,1,0
185,-20,1,0
186,-20,1,0
187,-20,1,0
188,-20,1,0
189,4,2,0
190,-12,2,0
